Origin,Destination,Heuristic_Distance_km
Delhi,Thiruvananthapuram,2250
Mumbai,Thiruvananthapuram,1250
Kolkata,Thiruvananthapuram,1800
Bengaluru,Thiruvananthapuram,550
Chennai,Thiruvananthapuram,620
Hyderabad,Thiruvananthapuram,900
Pune,Thiruvananthapuram,1100
Jaipur,Thiruvananthapuram,2000
Lucknow,Thiruvananthapuram,2100
Ahmedabad,Thiruvananthapuram,1600
Bhubaneswar,Thiruvananthapuram,1450
Patna,Thiruvananthapuram,2150
Guwahati,Thiruvananthapuram,2500
Srinagar,Thiruvananthapuram,2800
Goa,Thiruvananthapuram,1000
Indore,Thiruvananthapuram,1500
Chandigarh,Thiruvananthapuram,2400
Varanasi,Thiruvananthapuram,2350
Agra,Thiruvananthapuram,2300
Kanpur,Thiruvananthapuram,2250
Udaipur,Thiruvananthapuram,1850
Kochi,Thiruvananthapuram,200
Vishakhapatnam,Thiruvananthapuram,1200
Thiruvananthapuram,Thiruvananthapuram,0
